20.9,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,62.1,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.74084507243732,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,61.084330983229144,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,21.600000381469727,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,72.0999984741211,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.700000762939453,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,59.5,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>
21.1,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,67.6,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.741476276846868,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,61.0957820684504,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,21.600000381469727,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,72.0999984741211,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,20.700000762939453,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>,59.5,<bound method AppWindow.time_get of <__main__.AppWindow object at 0x714cbe40>>
21.9,10/12/2018 17:29:16,60.2,10/12/2018 17:29:16,7.6229166984558105,10/12/2018 17:29:16,21.791666746139526,10/12/2018 17:29:16,22.299999237060547,10/12/2018 17:29:16,77.9000015258789,10/12/2018 17:29:16,20.5,10/12/2018 17:29:16,54.599998474121094,10/12/2018 17:29:16
21.6,10/12/2018 17:29:21,59.8,10/12/2018 17:29:21,7.908163304231604,10/12/2018 17:29:21,22.56734700105628,10/12/2018 17:29:21,22.299999237060547,10/12/2018 17:29:21,77.9000015258789,10/12/2018 17:29:21,20.5,10/12/2018 17:29:21,54.599998474121094,10/12/2018 17:29:21
21.5,10/12/2018 17:29:26,60.5,10/12/2018 17:29:26,8.180000038146973,10/12/2018 17:29:26,23.326000061035156,10/12/2018 17:29:26,22.299999237060547,10/12/2018 17:29:26,77.9000015258789,10/12/2018 17:29:26,20.5,10/12/2018 17:29:26,54.599998474121094,10/12/2018 17:29:26
21.2,10/12/2018 17:29:31,58.6,10/12/2018 17:29:31,8.43529417000565,10/12/2018 17:29:31,24.017647088742724,10/12/2018 17:29:31,22.299999237060547,10/12/2018 17:29:31,77.9000015258789,10/12/2018 17:29:31,20.5,10/12/2018 17:29:31,54.599998474121094,10/12/2018 17:29:31
21.2,10/12/2018 17:29:36,59.5,10/12/2018 17:29:36,8.680769296792839,10/12/2018 17:29:36,24.700000029343826,10/12/2018 17:29:36,22.299999237060547,10/12/2018 17:29:36,77.9000015258789,10/12/2018 17:29:36,20.5,10/12/2018 17:29:36,54.599998474121094,10/12/2018 17:29:36
21.5,10/12/2018 17:29:41,59.2,10/12/2018 17:29:41,8.922641574211843,10/12/2018 17:29:41,25.35094343941167,10/12/2018 17:29:41,22.299999237060547,10/12/2018 17:29:41,77.9000015258789,10/12/2018 17:29:41,20.5,10/12/2018 17:29:41,54.599998474121094,10/12/2018 17:29:41
21.4,10/12/2018 17:29:46,59.7,10/12/2018 17:29:46,9.15370376021774,10/12/2018 17:29:46,25.98703709355107,10/12/2018 17:29:46,22.299999237060547,10/12/2018 17:29:46,77.9000015258789,10/12/2018 17:29:46,20.5,10/12/2018 17:29:46,54.599998474121094,10/12/2018 17:29:46
21.2,10/12/2018 17:29:51,59.3,10/12/2018 17:29:51,9.372727342085406,10/12/2018 17:29:51,26.592727314342152,10/12/2018 17:29:51,22.299999237060547,10/12/2018 17:29:51,77.9000015258789,10/12/2018 17:29:51,20.5,10/12/2018 17:29:51,54.599998474121094,10/12/2018 17:29:51
21.7,10/12/2018 17:29:56,58.3,10/12/2018 17:29:56,9.592857224600658,10/12/2018 17:29:56,27.158928598676408,10/12/2018 17:29:56,22.299999237060547,10/12/2018 17:29:56,77.9000015258789,10/12/2018 17:29:56,20.5,10/12/2018 17:29:56,54.599998474121094,10/12/2018 17:29:56
21.7,10/12/2018 17:30:01,59.9,10/12/2018 17:30:01,9.805263251589057,10/12/2018 17:30:01,27.733333386872943,10/12/2018 17:30:01,22.299999237060547,10/12/2018 17:30:01,77.9000015258789,10/12/2018 17:30:01,20.5,10/12/2018 17:30:01,54.599998474121094,10/12/2018 17:30:01
21.0,10/12/2018 17:30:06,61.7,10/12/2018 17:30:06,9.998275954147868,10/12/2018 17:30:06,28.318965583012023,10/12/2018 17:30:06,22.299999237060547,10/12/2018 17:30:06,77.9000015258789,10/12/2018 17:30:06,20.5,10/12/2018 17:30:06,54.599998474121094,10/12/2018 17:30:06
21.5,10/12/2018 17:30:11,55.0,10/12/2018 17:30:11,10.193220429501293,10/12/2018 17:30:11,28.77118650533385,10/12/2018 17:30:11,22.299999237060547,10/12/2018 17:30:11,77.9000015258789,10/12/2018 17:30:11,20.5,10/12/2018 17:30:11,54.599998474121094,10/12/2018 17:30:11
21.4,10/12/2018 17:30:17,52.5,10/12/2018 17:30:17,10.380000082651776,10/12/2018 17:30:17,29.166666730244955,10/12/2018 17:30:17,22.299999237060547,10/12/2018 17:30:17,77.9000015258789,10/12/2018 17:30:17,20.5,10/12/2018 17:30:17,52.5,10/12/2018 17:30:17
21.2,10/12/2018 17:30:21,54.3,10/12/2018 17:30:21,10.557377142984361,10/12/2018 17:30:21,29.57868857461898,10/12/2018 17:30:21,22.299999237060547,10/12/2018 17:30:21,77.9000015258789,10/12/2018 17:30:21,20.5,10/12/2018 17:30:21,52.5,10/12/2018 17:30:21
21.7,10/12/2018 17:30:26,55.2,10/12/2018 17:30:26,10.737096878790089,10/12/2018 17:30:26,29.99193554539834,10/12/2018 17:30:26,22.299999237060547,10/12/2018 17:30:26,77.9000015258789,10/12/2018 17:30:26,20.5,10/12/2018 17:30:26,52.5,10/12/2018 17:30:26
